label,role,metric,point,p025,p975,ci_method,member_count,nonmember_count,evidence_source,uncertainty_source,recomputed_or_recorded,bootstrap_unit,score_array_hash,eligible_claims,note
gray-box PIA,admitted,auc,0.841339,0.816756,0.863957,"stratified row bootstrap, 2000 iterations",512,512,workspaces/gray-box/runs/pia-cifar10-runtime-mainline-20260409-gpu-512-adaptive/adaptive-scores.json,direct score array,recomputed,stratified member/nonmember rows,cb5e68e5f03d70ee676a22134f4ffa7b000bc528f230b6cfcbf52b370f690bec,AUC interval for this row and role only,row-score bootstrap over adaptive mean scores; other reportable rows remain point estimates unless direct score arrays are available
PIA + G-1 dropout,admitted,auc,0.828075,0.803872,0.853547,"stratified row bootstrap, 2000 iterations",512,512,workspaces/gray-box/runs/pia-cifar10-runtime-mainline-dropout-defense-20260409-gpu-512-allsteps-adaptive/adaptive-scores.json,direct score array,recomputed,stratified member/nonmember rows,1863b11f1821d84cfe7109640ca4dd4e7a319fc672729920d95f45b6717db2df,AUC interval for this row and role only,row-score bootstrap over adaptive mean scores; defense-comparator interval only
DPDM W-1,admitted,auc,0.488783,0.463983,0.515163,"stratified row bootstrap, 2000 iterations",1000,1000,workspaces/white-box/runs/dpdm-w1-multi-shadow-comparator-targetmember-strongv3-3shadow-full-rerun8-20260408/scores.json,direct score array,recomputed,stratified member/nonmember rows,6e2854aa475382ad0ce0a5bb758cc003f5fffdc18810a5d1c97635ad2b9465e9,AUC interval for this row and role only,row-score bootstrap over target scores with orientation matching the recorded admitted AUC
H2 output-cloud 512/512,candidate,auc,0.961529,0.950939,0.972625,recorded artifact aggregate_ci95,512,512,workspaces/black-box/artifacts/h2-output-cloud-geometry-20260525.json,artifact aggregate_ci95,recorded,not available in paper workspace,,candidate/control interval only,candidate-side interval; does not change admission state
H2 shared-position seed176,control,auc,0.967819,0.953779,0.983615,recorded artifact aggregate_ci95,256,256,workspaces/black-box/artifacts/h2-output-cloud-geometry-shared-position-256-20260525.json,artifact aggregate_ci95,recorded,not available in paper workspace,,candidate/control interval only,candidate-side interval; does not change admission state
H2 shared-position seed177,stability,auc,0.956192,0.941745,0.970779,recorded artifact aggregate_ci95,256,256,workspaces/black-box/artifacts/h2-output-cloud-geometry-shared-position-seed177-256-20260525.json,artifact aggregate_ci95,recorded,not available in paper workspace,,candidate/control interval only,candidate-side interval; does not change admission state
H2 cache-reuse stability shared_position_seed176 to shared_position_seed177,cache-robustness,auc,0.94899,0.930007,0.966854,recorded artifact aggregate_ci95,256,256,workspaces/black-box/artifacts/h2-output-cloud-transfer-shared-position-256-20260525.json,artifact aggregate_ci95,recorded,not available in paper workspace,,same-family candidate cache-reuse stability interval only,same-family cache-reuse stability interval; not cross-model portability
H2 cache-reuse stability shared_position_seed177 to shared_position_seed176,cache-robustness,auc,0.97052,0.957806,0.982849,recorded artifact aggregate_ci95,256,256,workspaces/black-box/artifacts/h2-output-cloud-transfer-shared-position-256-20260525.json,artifact aggregate_ci95,recorded,not available in paper workspace,,same-family candidate cache-reuse stability interval only,same-family cache-reuse stability interval; not cross-model portability
