threshold,tp,fp,tn,fn,tpr,fpr,asr
-4.222495610216625,3,0,500,497,0.006,0.0,0.503
-4.219403318072109,3,0,500,497,0.006,0.0,0.503
-4.216311025927593,3,0,500,497,0.006,0.0,0.503
-4.213218733783076,3,0,500,497,0.006,0.0,0.503
-4.21012644163856,3,0,500,497,0.006,0.0,0.503
-4.207034149494044,3,0,500,497,0.006,0.0,0.503
-4.203941857349528,3,0,500,497,0.006,0.0,0.503
-4.2008495652050115,3,0,500,497,0.006,0.0,0.503
-4.197757273060495,3,0,500,497,0.006,0.0,0.503
-4.194664980915979,3,0,500,497,0.006,0.0,0.503
-4.191572688771463,3,0,500,497,0.006,0.0,0.503
-4.188480396626947,3,0,500,497,0.006,0.0,0.503
-4.18538810448243,3,0,500,497,0.006,0.0,0.503
-4.182295812337914,3,0,500,497,0.006,0.0,0.503
-4.179203520193398,3,0,500,497,0.006,0.0,0.503
-4.176111228048882,3,0,500,497,0.006,0.0,0.503
-4.1730189359043655,3,0,500,497,0.006,0.0,0.503
-4.169926643759849,3,0,500,497,0.006,0.0,0.503
-4.166834351615333,3,0,500,497,0.006,0.0,0.503
-4.163742059470817,3,0,500,497,0.006,0.0,0.503
-4.1606497673263005,3,0,500,497,0.006,0.0,0.503
-4.157557475181784,3,0,500,497,0.006,0.0,0.503
-4.154465183037268,3,0,500,497,0.006,0.0,0.503
-4.151372890892752,3,0,500,497,0.006,0.0,0.503
-4.148280598748236,3,0,500,497,0.006,0.0,0.503
-4.145188306603719,3,0,500,497,0.006,0.0,0.503
-4.142096014459203,3,0,500,497,0.006,0.0,0.503
-4.139003722314687,3,0,500,497,0.006,0.0,0.503
-4.135911430170171,3,0,500,497,0.006,0.0,0.503
-4.1328191380256545,3,0,500,497,0.006,0.0,0.503
-4.129726845881138,3,0,500,497,0.006,0.0,0.503
-4.126634553736622,3,0,500,497,0.006,0.0,0.503
-4.123542261592106,3,0,500,497,0.006,0.0,0.503
-4.12044996944759,3,0,500,497,0.006,0.0,0.503
-4.117357677303073,3,0,500,497,0.006,0.0,0.503
-4.114265385158557,3,0,500,497,0.006,0.0,0.503
-4.111173093014041,3,0,500,497,0.006,0.0,0.503
-4.108080800869525,3,0,500,497,0.006,0.0,0.503
-4.104988508725008,3,0,500,497,0.006,0.0,0.503
-4.101896216580492,3,0,500,497,0.006,0.0,0.503
