schema_version,snapshot_kind,scope,generated_at_utc,repo_head,repo_tree_state,generator_command,generator_script_sha256,release_checker_script_sha256,asset_manifest_sha256,source_provenance_sha256,claim_trace_sha256,paper_pdf_sha256,excluded_public_claims,manifest_category,relative_path,exists,git_status,size_bytes,sha256,snapshot_role,boundary_note
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/mofit_public_caption_position_manifest.csv,true,??,425828,db138d191d9c2ec06ed908c3a4e25087d8928accc946bbb6e067fa68bc7a33d5,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/metric_uncertainty.csv,true,M,3617,62951d485a3ef4382c4a460b5aa076df3c7a3d2214193ba46a0f0df48042a560,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/artifact_gate_summary.csv,true,not-reported-by-git-status,1449,1d632173aad84208452b1c0fbe62aba71e1b2abfd3631d2f383d57c15633b5c8,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/artifact_strata_summary.csv,true,not-reported-by-git-status,1011,5551cdace9fb54218d508f8dc6b49f4bfe3d8af5443d4a787b39b3a834ed17aa,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/artifact_claim_support_rows.csv,true,??,8727,8f853a37066f576b162468e0dcb2e34a950c88f3a7c67bfb8df7c4f4eaee014a,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/artifact_claim_support_summary.csv,true,??,921,e6e3e496455e73325ce635ffe2a999fbe87ce05ca6fe2706d3ec36b49681509a,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/false_promotion_exemplars.csv,true,??,7569,53dcbc4ddecc43f1fcea95122a6d1a1a3d8167b060782929f22f712e9ce00d62,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/false_promotion_rule_summary.csv,true,??,730,87a04e71c4fa27b33b93c18ac52b973d1ebd278a2c0674dbe0b8e453778c3eb7,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/false_promotion_blinded_review_packet.csv,true,??,6054,90de9bf6fae1e9d61fe9bf5fe613f333e07fa399b91bff2336933834e2c5f02f,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/false_promotion_external_review_template.csv,true,??,3094,480f349d22eee6f69e2f63f6b3727fb839aa4e6c843ddfa035016a1a5e3a96e0,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/false_promotion_row_trace.csv,true,??,9450,aed923feb59cf74e6c58966aa6120159236225abd2945bfb15138977b94f189e,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/claim_trace.csv,true,??,11080,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/claim_transition_examples.csv,true,??,2453,5502b10c684365f39713d350ab92bfb24b271828e483cee6ce11c86338deddf4,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/manuscript_claim_audit.csv,true,??,1594,4c398638a0fc2f1415acf55edd0afd74722e47a669cc885319ff68309c6b7fbf,local-review-packet-identity,local review snapshot only; not clean public release provenance
review-snapshot-v1,local_review_snapshot,paper_release_packet_inputs_only,2026-06-20T03:29:58Z,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,4aac61156787b544ec792a3cd1f55536391760c5022fd64b10ea3fdea9f5f8a5,fa680806595e95dd42e995d46d326523b05b91cc0d62621e02b9f3e60c7b18fd,3b191f29f6a9abf7e41366393dfd7703cea1fe5fe86f1c335b9645d09ba4c513,515e78c9e7d86eee9b2f91578729844dcb9b8f353b7a54889b94ecef60d9e9ee,c0da14c7c49ce93b882189bf4e26b78b17862fac3a21fc444a85b038032b7785,6dfbb23f2a2df55437c0f7dbf1a5ab57c0fbf5c385644a1fa0dd20cefd5f42ac,dirty tree is not public provenance;candidate/support/support-only rows are not admitted evidence;permission-bound artifacts are not public replay evidence,generated,data/citation_context_audit.csv,true,??,11899,980f8bdf0f34af4723aa8995535185200538215552875c19b65ae87037da23af,local-review-packet-identity,local review snapshot only; not clean public release provenance
